Type,maximum_budget,maximum_budget_unit,case_study,,,,
,219.867191,MtCO2e,BR_AUT,,,,
,293.1562547,MtCO2e,BR_AUT,,,,
,366.4453183,MtCO2e,BR_AUT,,,,
,439.734382,MtCO2e,BR_AUT,,,,
,513.0234457,MtCO2e,BR_AUT,,,,
,586.3125093,MtCO2e,BR_AUT,,,,
,659.601573,MtCO2e,BR_AUT,,,,
,309.9971614,MtCO2e,CO_AUT,,,,
,154.9985807,MtCO2e,CO_AUT,,,,
,0,MtCO2e,CO_AUT,,,,
,57.84417903,MtCO2e,CO_AUT,,,,
,115.6883581,MtCO2e,CO_AUT,,,,
,173.5325371,MtCO2e,CO_AUT,,,,
,231.3767161,MtCO2e,CO_AUT,,,,
,289.2208951,MtCO2e,CO_AUT,,,,
,347.0650742,MtCO2e,CO_AUT,,,,
,404.9092532,MtCO2e,CO_AUT,,,,
,462.7534322,MtCO2e,CO_AUT,,,,
,212.8348798,MtCO2e,PE_AUT,,,,
,106.4174399,MtCO2e,PE_AUT,,,,
,0,MtCO2e,PE_AUT,,,,
,35.88990849,MtCO2e,PE_AUT,,,,
,71.77981697,MtCO2e,PE_AUT,,,,
,107.6697255,MtCO2e,PE_AUT,,,,
,143.5596339,MtCO2e,PE_AUT,,,,
,179.4495424,MtCO2e,PE_AUT,,,,
,215.3394509,MtCO2e,PE_AUT,,,,
,251.2293594,MtCO2e,PE_AUT,,,,
,287.1192679,MtCO2e,PE_AUT,,,,
,178.3264021,MtCO2e,CL_AUT,,,,
,0,MtCO2e,CL_AUT,,,,
,8.328515692,MtCO2e,CL_AUT,,,,
,16.65703138,MtCO2e,CL_AUT,,,,
,24.98554707,MtCO2e,CL_AUT,,,,
,33.31406277,MtCO2e,CL_AUT,,,,
,41.64257846,MtCO2e,CL_AUT,,,,
,49.97109415,MtCO2e,CL_AUT,,,,
,58.29960984,MtCO2e,CL_AUT,,,,
,66.62812553,MtCO2e,CL_AUT,,,,
,74.95664122,MtCO2e,CL_AUT,,,,
