Charging_profile,Unit
0.097836229,GWh/GWh fleet
0.098614038,GWh/GWh fleet
0.098629289,GWh/GWh fleet
0.098309015,GWh/GWh fleet
0.096173851,GWh/GWh fleet
0.0935354,GWh/GWh fleet
0.093855674,GWh/GWh fleet
0.09236106,GWh/GWh fleet
0.089463339,GWh/GWh fleet
0.084872738,GWh/GWh fleet
0.080038118,GWh/GWh fleet
0.07666761,GWh/GWh fleet
0.073861396,GWh/GWh fleet
0.072366782,GWh/GWh fleet
0.071344954,GWh/GWh fleet
0.071314451,GWh/GWh fleet
0.074471443,GWh/GWh fleet
0.079519578,GWh/GWh fleet
0.084887989,GWh/GWh fleet
0.092544074,GWh/GWh fleet
0.096387368,GWh/GWh fleet
0.098751299,GWh/GWh fleet
0.098919061,GWh/GWh fleet
0.098003991,GWh/GWh fleet
0.099407099,GWh/GWh fleet
0.099940889,GWh/GWh fleet
0.100291666,GWh/GWh fleet
0.099635866,GWh/GWh fleet
0.097744722,GWh/GWh fleet
0.094099693,GWh/GWh fleet
0.093611656,GWh/GWh fleet
0.092498321,GWh/GWh fleet
0.089661604,GWh/GWh fleet
0.085025249,GWh/GWh fleet
0.081517481,GWh/GWh fleet
0.076362587,GWh/GWh fleet
0.07495948,GWh/GWh fleet
0.073327605,GWh/GWh fleet
0.071939749,GWh/GWh fleet
0.071405958,GWh/GWh fleet
0.072641303,GWh/GWh fleet
0.075447517,GWh/GWh fleet
0.077750443,GWh/GWh fleet
0.084430454,GWh/GWh fleet
0.088243245,GWh/GWh fleet
0.090485167,GWh/GWh fleet
0.090408911,GWh/GWh fleet
0.089204069,GWh/GWh fleet
0.08856352,GWh/GWh fleet
0.086977399,GWh/GWh fleet
0.086382603,GWh/GWh fleet
0.085803059,GWh/GWh fleet
0.084811733,GWh/GWh fleet
0.084704975,GWh/GWh fleet
0.087053654,GWh/GWh fleet
0.086657124,GWh/GWh fleet
0.085620045,GWh/GWh fleet
0.081959765,GWh/GWh fleet
0.079123048,GWh/GWh fleet
0.077414918,GWh/GWh fleet
0.073083586,GWh/GWh fleet
0.071085684,GWh/GWh fleet
0.069743581,GWh/GWh fleet
0.0693318,GWh/GWh fleet
0.070033353,GWh/GWh fleet
0.071710982,GWh/GWh fleet
0.072260024,GWh/GWh fleet
0.076164322,GWh/GWh fleet
0.078879029,GWh/GWh fleet
0.081380221,GWh/GWh fleet
0.081593737,GWh/GWh fleet
0.08124296,GWh/GWh fleet
0.081959765,GWh/GWh fleet
0.081715746,GWh/GWh fleet
0.081471728,GWh/GWh fleet
0.081197207,GWh/GWh fleet
0.081014193,GWh/GWh fleet
0.081456477,GWh/GWh fleet
0.084933742,GWh/GWh fleet
0.085360775,GWh/GWh fleet
0.084933742,GWh/GWh fleet
0.081258211,GWh/GWh fleet
0.077323411,GWh/GWh fleet
0.076042313,GWh/GWh fleet
0.071665228,GWh/GWh fleet
0.070079107,GWh/GWh fleet
0.069438558,GWh/GWh fleet
0.069713079,GWh/GWh fleet
0.073053084,GWh/GWh fleet
0.079001039,GWh/GWh fleet
0.08450671,GWh/GWh fleet
0.09210179,GWh/GWh fleet
0.095518051,GWh/GWh fleet
0.097561708,GWh/GWh fleet
0.097363442,GWh/GWh fleet
0.096189103,GWh/GWh fleet
0.097317689,GWh/GWh fleet
0.097531205,GWh/GWh fleet
0.097226182,GWh/GWh fleet
0.097027917,GWh/GWh fleet
0.095060516,GWh/GWh fleet
0.092894851,GWh/GWh fleet
0.093230376,GWh/GWh fleet
0.091690009,GWh/GWh fleet
0.089295576,GWh/GWh fleet
0.083805156,GWh/GWh fleet
0.079046792,GWh/GWh fleet
0.073830894,GWh/GWh fleet
0.072763312,GWh/GWh fleet
0.071207693,GWh/GWh fleet
0.070567144,GWh/GWh fleet
0.070521391,GWh/GWh fleet
0.073617377,GWh/GWh fleet
0.079428071,GWh/GWh fleet
0.084689724,GWh/GWh fleet
0.091751013,GWh/GWh fleet
0.095472298,GWh/GWh fleet
0.097210931,GWh/GWh fleet
0.097531205,GWh/GWh fleet
0.096494126,GWh/GWh fleet
0.097912484,GWh/GWh fleet
0.097958238,GWh/GWh fleet
0.097744722,GWh/GWh fleet
0.097470201,GWh/GWh fleet
0.095563805,GWh/GWh fleet
0.093504897,GWh/GWh fleet
0.093809921,GWh/GWh fleet
0.092025534,GWh/GWh fleet
0.089143064,GWh/GWh fleet
0.083744151,GWh/GWh fleet
0.078802774,GWh/GWh fleet
0.075264503,GWh/GWh fleet
0.072595549,GWh/GWh fleet
0.071192442,GWh/GWh fleet
0.070323125,GWh/GWh fleet
0.070353628,GWh/GWh fleet
0.073449614,GWh/GWh fleet
